SDB|CIS|A65R54O |RELATIONSHIP ROLE DEFINITIONS                     |OUTPUT|DISK   |QSAM|FIXED   |00306|A65R54O |FB |00000|N
SDB|CIS|A65R55I |CIS RIS MAINTENANCE LOG FILE                      |INPUT |DISK   |QSAM|VARIABLE|00533|A65R55I |   |00000|N
SDB|CIS|A65R55O |CIS RIS MAINTENANCE LOG FILE                      |OUTPUT|DISK   |QSAM|VARIABLE|00533|A65R55O |   |00000|A
SDB|CIS|A65R56I |RIS GENERIC MAINTENANCE TXNS - INPUT              |INPUT |DISK   |QSAM|FIXED   |00476|A65R56I |FIX|00000|N
SDB|CIS|A65R56O |RIS GENERIC MAINTENANCE TRANSACTIONS              |OUTPUT|DISK   |QSAM|FIXED   |00476|A65R56O |FB |00000|N
SDB|CIS|A65R59I |CIS-RIS SORTED CUSTOMER-ADDRESS EXTRACT RECORDS   |INPUT |DISK   |QSAM|FIXED   |02082|A65R59I |FB |00000|N
SDB|CIS|A65R59O |CIS-RIS CUSTOMER-ADDRESS EXTRACT RECORDS          |OUTPUT|DISK   |QSAM|FIXED   |02082|A65R59O |FB |00000|N
SDB|CIS|A65R60O |CIS-RIS ISI MATCH INPUT RECORDS                   |OUTPUT|DISK   |QSAM|FIXED   |00825|A65R60O |FB |00000|N
SDB|CIS|A65R62O |CUSTOMER CHARACTERISTIC MAINT RECORDS             |OUTPUT|DISK   |QSAM|FIXED   |00459|A65R62O |FB |00000|N
SDB|CIS|A65R65O |CUSTOMER RELATIONSHIP ROLE LOAD RECORDS           |OUTPUT|DISK   |QSAM|FIXED   |00306|A65R65O |FB |00000|N
SDB|CIS|A65R66O |CUSTOMER SEGMENT CLASSIFICATION LOAD RECORDS      |OUTPUT|DISK   |QSAM|FIXED   |00306|A65R66O |FB |00000|N
SDB|CIS|A65R67O |CUSTOMER HIERARCHY LOAD RECORDS                   |OUTPUT|DISK   |QSAM|FIXED   |00306|A65R67O |FB |00000|N
SDB|CIS|A65R76I |CIS ET MAINTENANCE LOG FILE                       |INPUT |DISK   |QSAM|FIXED   |00114|A65R76I |   |00000|N
SDB|CIS|A65R76O |CIS ET MAINTENANCE LOG FILE                       |OUTPUT|DISK   |QSAM|FIXED   |00114|A65R76O |   |00000|A
SDB|CIS|A65R77O |CIS ET CABINET MAINTENANCE TXNS                   |OUTPUT|DISK   |QSAM|FIXED   |00108|A65R77O |   |00000|N
SDB|RCS|BAIMAGE |HITS NON-PROCESS DICTIONARY AFTER IMAGE OUT       |INPUT |DISK   |QSAM|VARIABLE|32756|BAIMAGE |VB |00000|N
SDB|PAS|BTMPRINT|OUTPUT FOR BTM UTILITIES                          |OUTPUT|PRINTER|QSAM|FIXED   |00133|BTMPRINT|FBA|00000| 
SDB|PAS|BTMSPLT |BTM SPLITTER INPUT PARMS                          |INPUT |DISK   |QSAM|FIXED   |00080|BTMSPLT |   |00000| 
SDB|PAS|BTMSPSO |BTM LOG EXTRACTED SPS REPORT STRINGS              |OUTPUT|DISK   |QSAM|VARIABLE|03178|BTMSPSO |VB |00000| 
SDB|CCS|CCDIN   |CHANGE CONTROL SYSTEM REPORTING FILE              |INPUT |DISK   |QSAM|FIXED   |00296|CCDIN   |   |00000|N
SDB|CCS|CCDOUT  |CCS DETAIL FILE EXTRACT WORK FILE                 |OUTPUT|DISK   |QSAM|FIXED   |00296|CCDOUT  |FB |00000|N
SDB|UMB|CCDOUTB |CCS DETAIL FILE EXTRACT WORK FILE                 |OUTPUT|DISK   |QSAM|FIXED   |00296|CCDOUTB |FB |00000|N
SDB|CCI|CCIARCHI|EVENT TRACKER ARCHIVE INPUT FILE IN CSV FORMAT    |INPUT |DISK   |BSAM|VARIABLE|18758|CCIARCHI|VB |00000|N
SDB|CCI|CCIARCHO|EVENT TRACKER ARCHIVE OUTPUT FILE IN CSV FORMAT   |OUTPUT|DISK   |BSAM|VARIABLE|18758|CCIARCHO|VB |00000|N
SDB|CCI|CCIARCI |EVENT TRACKER ARCHIVE RET REPORT STRINGS          |INPUT |DISK   |QSAM|FIXED   |00134|CCIARCI |FB |00000|N
SDB|CCI|CCIARCO |EVENT TRACKER ARCHIVE RET REPORT STRINGS          |OUTPUT|DISK   |QSAM|FIXED   |00134|CCIARCO |FB |00000|N
SDB|CCI|CCIARCRI|ET ARCHIVE REPORT STRING INPUT                    |INPUT |DISK   |QSAM|FIXED   |00169|CCIARCRI|FB |00000|N
SDB|CCI|CCIARCRO|ET ARCHIVE REPORT STRING GENERATOR                |OUTPUT|DISK   |QSAM|FIXED   |00169|CCIARCRO|FB |00000|N
SDB|CCI|CCIARPTO|EVENT TRACKER ARCHIVE EXCEPTION REPORT DATA STRING|OUTPUT|DISK   |QSAM|VARIABLE|01014|CCIRPTO |VB |00000|N
SDB|CCI|CCIASYNO|EVENT TRACKER ASYNCHRONOUS CAPTURE OUTPUT FILE    |OUTPUT|DISK   |QSAM|VARIABLE|20164|CCIASYNO|VB |00000|A
SDB|CCI|CCIBLDE |EVENT TRACKER BATCH LOADER ERRORS FILE            |OUTPUT|DISK   |QSAM|VARIABLE|20168|CCIBLDE |VB |00000|N
